tokens	ner_tags	langs	spans
['Saxifrage' 'faux' 'Orpin']	[5 6 6]	['fr' 'fr' 'fr']	['LOC: Saxifrage faux Orpin']
['REDIRECTION' 'The' 'Lady' 'of' 'Rage']	[0 1 2 2 2]	['fr' 'fr' 'fr' 'fr' 'fr']	['PER: The Lady of Rage']
['Parti' 'libéral' 'du' 'Québec']	[3 4 4 4]	['fr' 'fr' 'fr' 'fr']	['ORG: Parti libéral du Québec']
"['Après' 'deux' 'nuls' '(' 'Guingamp' 'et' 'Amiens' ')' 'et' 'deux'
 'défaites' '(' 'Charleroi' 'et' 'Lokeren' ')' ',' 'les' 'hommes'
 'Antoine' 'Kombouaré' 'se' 'reprennent' 'et' 'remportent' 'leurs' 'deux'
 'dernières' 'confrontations' 'contre' 'UNFP' 'et' 'Sedan' '.']"	[0 0 0 0 3 0 3 0 0 0 0 0 3 0 3 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 3 0 3 0]	"['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr'
 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr'
 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']"	"['ORG: Guingamp' 'ORG: Amiens' 'ORG: Charleroi' 'ORG: Lokeren'
 'PER: Antoine Kombouaré' 'ORG: UNFP' 'ORG: Sedan']"
"['Ernst' 'Vettori' 'Richard' 'Schallert' 'Franz' 'Neuländtner' 'Andreas'
 'Felder']"	[1 2 1 2 1 2 1 2]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	"['PER: Ernst Vettori' 'PER: Richard Schallert' 'PER: Franz Neuländtner'
 'PER: Andreas Felder']"
['Comté' 'de' 'Motley']	[5 6 6]	['fr' 'fr' 'fr']	['LOC: Comté de Motley']
['Ángel' 'David' 'Rodríguez']	[1 2 2]	['fr' 'fr' 'fr']	['PER: Ángel David Rodríguez']
['====' 'La' 'Cour' 'constitutionnelle' '====']	[0 0 3 4 0]	['fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Cour constitutionnelle']
"['**' 'Nip' '/' 'Tuck' ""''""]"	[0 3 4 4 0]	['fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Nip / Tuck']
"['Il' 'utilise' 'des' 'baguettes' 'Pro-Mark' '(' 'dont' 'il' 'possède'
 'un' 'modèle' ""''Signature"" ')' '.']"	[0 0 0 0 3 0 0 0 0 0 0 0 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Pro-Mark']
['REDIRECTION' 'Luis' 'Marín' 'Barahona']	[0 1 2 2]	['fr' 'fr' 'fr' 'fr']	['PER: Luis Marín Barahona']
['Loubieng' 'au' 'nord-ouest' ';']	[5 0 0 0]	['fr' 'fr' 'fr' 'fr']	['LOC: Loubieng']
['Comté' 'de' 'Los' 'Angeles']	[5 6 6 6]	['fr' 'fr' 'fr' 'fr']	['LOC: Comté de Los Angeles']
['Admiral' 'T' 'feat' '.']	[1 2 0 0]	['fr' 'fr' 'fr' 'fr']	['PER: Admiral T']
['2014' ',' 'à' 'Amsterdam' '(' ')']	[3 0 0 5 0 0]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['ORG: 2014' 'LOC: Amsterdam']
['REDIRECTION' 'Le' 'Lynx' '(' 'journal' ')']	[0 3 4 4 4 4]	['fr' 'fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Le Lynx ( journal )']
"['Lone' 'Wolf' 'and' 'Cub' ""''""]"	[3 4 4 4 0]	['fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Lone Wolf and Cub']
['Oregon' '(' 'groupe' ')']	[3 4 4 4]	['fr' 'fr' 'fr' 'fr']	['ORG: Oregon ( groupe )']
['Autoroute' 'A29' '(' 'France' ')']	[3 4 4 4 4]	['fr' 'fr' 'fr' 'fr' 'fr']	['ORG: Autoroute A29 ( France )']
